url,act_name,street,city,state,zip,phone
1stkia.com,"First Kiaof Simi Valley",2081 First St,Simi Valley,CA,93065,(805) 225-7870
audijax.com,Audi Jacksonville,7230 Blanding Blvd,Jacksonville,FL,32244,(888) 451-7572
kalsauto.com,Kal's Auto Sales II,5130 W 8 Mile Rd,Detroit,MI,48234,(313) 891-0000
carwashcarsinc.com,Car Wash Cars Inc,462 Route 9W,Glenmont,NY,12077,(518) 729-4317
autonationnissanorangepark.com,AutoNation Nissan Orange Park,7447 Blanding Blvd,Jacksonville,FL,32244,(904) 270-9954
cfschwartztoyota.com,C. F. Schwartz Toyota,1536 N Dupont Hwy,Dover,DE,19901,(877) 769-6001
lhmlexus.com,"Directions to Larry H. Miller Lexus Murray near Salt Lake City, UTYour Murray, Salt Lake City and South Jordan Lexus Dealership",5686 State St,Murray,UT,84107,(801) 590-0638
agchevy.com,Arroyo Grande Chevrolet,303 Traffic Way,Arroyo Grande,CA,93420,(805) 202-4636
billowenscars.com,Bill Owens Auto Sales,705 U.S. 27 SOUTH,Avon Park,FL,33825,(863) 452-5599
damascusmotors.com,Damascus Motors,26100 Woodfield Rd,Damascus,MD,20872,(301) 253-2151
dennisdillonchryslerjeepdodge.com,Dennis Dillon Chrysler Jeep Dodge,4025 Cleveland Blvd,Caldwell,ID,83605,(888) 506-8191
bobhowardhonda.com,Bob Howard Honda,13201 N Kelley Ave,Oklahoma City,OK,73131,(405) 753-8700
humboldtdodgechryslerjeep.com,Lonnie Cobb's Humboldt Chrysler Dodge Jeep RAM,3301 Eastend Dr,Humboldt,TN,38343,(888) 554-6047
livingstonvw.com,Livingston Volkswagen,21141 Ventura Blvd,Woodland Hills,CA,91364,(855) 419-9290
beckmastennorth.com,Beck and Masten North,11300 FM 1960,Houston,TX,77065,(281) 469-5222
fairbanksnissan.com,Fairbanks Nissan,2610 S Cushman St,Fairbanks,AK,99701,(866) 467-8690
feyerlincoln.net,Feyer Lincoln Inc.,1677 US-17 BUS,Williamston,NC,27892,(866) 493-1351
forrestersdodgecity.com,Forrester's Dodge City,204 S Walnut St,Arnold,NE,69120,(888) 463-0311
victorchevrolet.com,Victor Chevrolet - A Rochester Area  Dealer,7200 Pittsford Victor Rd,Victor,NY,14564,(585) 433-2500
landroverpalmbeach.com,Land Rover Palm Beach,7550 Okeechobee Blvd,West Palm Beach,FL,33411,(561) 209-7000
goudyhonda.com,Goudy Honda,1400 W Main St,Alhambra,CA,91801,(626) 576-1114
davis-olaughlin.com,Davis O'Laughlin Buick GMC Cadillac,4580 US-219,Great Valley,NY,14741,(716) 945-5050
lutherhondaofstcloud.com,Luther St. Cloud Honda,1500 Hwy 23 West,Waite Park,MN,56387,(888) 453-5650
titanautosales.com,Titan Auto Sales LLC,1037 Central Ave,Albany,NY,12205,(518) 438-0101
hixsonbmw.com,Hixson BMW Monroe,1201 Louisville Ave,Monroe,LA,71201,(855) 519-8884
antwerpenautoworld.com,Antwerpen Auto World,9400 Liberty Road,Randallstown,MD,21133,(888) 437-9880
lakelandcdj.com,Lakeland Chrysler Dodge Jeep,2875 Mall Hill Drive,Lakeland,FL,33810,(888) 420-1648
blakegreenfieldchevroletbuick.com,Blake Greenfield Chevrolet Buick,150 3rd St NE,Wells,MN,56097,(507) 774-0365
carltonmb.com,Carlton Motorcars,2446 Laurens Rd,Greenville,SC,29607,(855) 336-9760
silkohonda.com,Silko Honda,1580 New State Hwy,Raynham,MA,2767,(508) 880-5500
lahabramotors.com,La Habra Motors,980 E Whittier Blvd,La Habra,CA,90631,(562) 697-2400
hugoautosales.com,Hugo Auto Sales,2583 Cameron Langston Rd,Grifton,NC,28530,(252) 522-4140
baxterfordsouth.com,Baxter Ford South,9203 S 145th St,Omaha,NE,68138,(855) 985-0071
roemotorsny.com,Roe Motors Ltd,662 Montauk Hwy,Shirley,NY,11967,(631) 395-2277
kingmontclair.com,King Auto Sales,5053 Mission Blvd,Montclair,CA,91763,(909) 627-1211
douglasinfiniti.com,Douglas Infiniti,430 Morris Ave,Summit,NJ,7901,(908) 522-7300
plazainfiniti.com,Plaza Infiniti,755 N New Ballas Rd,Creve Coeur,MO,63141,(888) 593-1881
coughlinmarysvillechrysler.com,Coughlin Chrysler Jeep Dodge RAM,15777 Watkins Rd,Marysville,OH,43040,(888) 378-6128
dillonlakemtrs.com,Dillon Lake Motors,3350 Maple Ave,Zanesville,OH,43701,(740) 297-7265
chapmanspeedway.com,Chapman Used Cars on Speedway,6001 E Speedway Blvd,Tucson,AZ,85712,(520) 829-0032
beckchevroletonline.com,"Beck Chevrolet Co., Inc.",561 Central Park Ave,Yonkers,NY,10704,(914) 595-1463
infinitimv.com,INFINITI of Mission Viejo,28471 Marguerite Pkwy,Mission Viejo,CA,92692,(855) 410-3445
hondaofserramonte.com,Honda of Serramonte,485 Serramonte Blvd,Colma,CA,94014,(888) 892-5461
douglassnissanofwaco.com,Douglass Nissan of Waco,5605 Legend Lake Pkwy,Waco,TX,76712,(877) 302-5270
saturnofknoxville.com,McManus Auto Sales,6404 Maynardville Pike,Knoxville,TN,37918,(865) 281-2278
avchevy.com,Antelope Valley Chevrolet,1160 Motor Ln,Lancaster,CA,93534,(661) 952-2300
skylineford.net,Skyline Ford,2510 Commercial St SE,Salem,OR,97302,(888) 873-7584
moseshuntingtongm.com,Moses Buick GMC Cadillac,5200 Route 60 East,Huntington,WV,25705,(304) 736-5291
hatchtoyota.com,2017 Hatch Toyota.,1051 Automall Pkwy,Show Low,AZ,85901,(928) 242-9007
malouffordinc.com,Malouf Ford,2210 US-1,North Brunswick Township,NJ,8902,(866) 951-8097
seminolefordok.com,Seminole Ford,2222 N Milt Phillips Ave,Seminole,OK,74868,(888) 903-5643
flagshipmotorcars.com,Flagship Motorcars of Lynnfield,385 Broadway,Lynnfield,MA,1940,(877) 907-1967
capitolhyundai.com,Capitol Hyundai Columbia,101 Newland Rd,Columbia,SC,29229,(800) 258-1436
searsimports.com,"Sears Imported Autos, Inc.",13500 Wayzata Blvd,Minnetonka,MN,55305,(888) 580-8791
videon.com,Videon Chrysler Dodge Jeep RAM,4951 West Chester Pike,Newtown Square,PA,19073,(610) 356-7000
towncountrychryslerdodge.com,Town & Country Chrysler Dodge Ram,703 Crim Ave,Belington,WV,26250,(877) 830-9359
palmharborhonda.com,Courtesy Palm Harbor Honda,31200 US Hwy 19 N,Palm Harbor,FL,34684,(866) 423-6155
bravolascruces.com,Bravo Chevrolet Cadillac,1601 S Main St,Las Cruces,NM,88005,(575) 527-3800
ricksautosite.com,Rick's Auto Sales Used Cars,1536 E 5th St,Metropolis,IL,62960,(618) 524-7366
audiofhuntington.com,Audi of Huntington,363 E Jericho Turnpike,Huntington Station,NY,11746,(866) 455-0268
discountautocorner.com,Discount Auto,2908 Lincoln Hwy,Langhorne,PA,19047,(215) 757-5170
audipetoskey.com,Audi Petoskey,825 Charlevoix Ave,Petoskey,MI,49770,(888) 478-1060
vwoforchardpark.com,Volkswagen of Orchard Park,3524 Southwestern Blvd,Orchard Park,NY,14127,(716) 216-0256
pietroske.com,Pietroske Chevrolet,4000 Grand Avenue,Manitowoc,WI,54221,(920) 684-0224
hendrickhyundainorth.com,Hendrick Hyundai North Charleston,8485 Rivers Ave,North Charleston,SC,29406,(866) 542-1320
johnsgreatcars.com,John's Great Cars,1133 Lancaster Ave,Reading,PA,19607,(610) 603-9100
beckmotors.net,Beck Motors,305 US Hwy 63,Freeburg,MO,65035,(888) 638-4505
parksmotorsales.com,Parks Motor Sales Inc.,919 Nashville Hwy,Columbia,TN,38401,(931) 388-5843
josephbuickgmc.com,Joseph Buick GMC,8700 Colerain Ave,Groesbeck,OH,45251,(513) 741-1000
centralgmcnorwood.com,Central Buick GMC of Norwood,70 Boston Providence Hwy,Norwood,MA,2062,(781) 473-0908
cruisinclassicsinc.com,Cruisin Classics Auto Sales,3575 Fisher Rd,Columbus,OH,43228,(614) 276-7355
everettchryslerjeepdodgeram.com,Everett Chrysler Dodge Jeep Ram,3709 S Thompson St,Springdale,AR,72764,(888) 257-0465
garavelsubaru.com,Garavel Subaru,10 Tindall Ave,Norwalk,CT,6851,(877) 223-0913
jansenchevrolet.com,Jansen Chevrolet,7801 IL-161,Germantown,IL,62245,(618) 613-4215
bramanbmwjupiter.com,Braman BMW of Jupiter,1555 W Indiantown Rd,Jupiter,FL,33458,(561) 609-0144
mildenbergermotors.com,Mildenberger Motors,1717 N 1st St,Hamilton,MT,59840,(406) 626-3050
autonationfordarlington.com,AutoNation Ford Arlington,1400 W Interstate 20,Arlington,TX,76017,(817) 200-4503
rampmotors.com,Ramp Motors,4869 Nesconset Hwy,Port Jefferson Station,NY,11776,(631) 473-1550
millerchevy.com,Miller & Sons Chevrolet Buick,3107 Green Garden Rd,Aliquippa,PA,15001,(724) 378-0541
cjsautosales.com,CJS Auto Sales,2509 S Houston Rd,Pasadena,TX,77502,(713) 947-6405
redwingchev.net,Red Wing Chevrolet Buick Cadillac,2500 US Hwy 61,Red Wing,MN,55066,(651) 388-4777
sunnyvalevw.com,Sunnyvale Volkswagen,1025 E El Camino Real,Sunnyvale,CA,94087,(877) 785-8252
